id,text,persons,locations,organizations
1200,He has since named a prime minister for the first time since early in his rule and ordered a crackdown on corruption .,,,
1201,Conte seized power in 1984 after the death of veteran Marxist leader Ahmed Sekou Toure .,Conte;Ahmed Sekou Toure,,
1202,He won elections in 1993 .,,,
1203,South African answers U.S. message in a bottle .,,U.S.,
1204,JOHANNESBURG 1996-08-22,,JOHANNESBURG,
1205,A South African boy is writing back to an American girl whose message in a bottle he found washed up on President Nelson Mandela 's old prison island .,Nelson Mandela,,
1206,"But Carlo Hoffmann , an 11-year-old jailer 's son who found the bottle on the beach at Robben Island off Cape Town after winter storms , will send his letter back by ordinary mail on Thursday , the post office said .",Carlo Hoffmann,Robben Island;Cape Town,
1207,It will be sent for free .,,,
1208,"Danielle Murray from Sandusky , Ohio , the same age as her new penfriend , asked for a reply from whoever received the message she flung on its journey months ago on the other side of the Atlantic Ocean .",Danielle Murray,Sandusky;Ohio;Atlantic Ocean,
1209,Rottweiler kills South African toddler .,,,
1210,JOHANNESBURG 1996-08-22,,JOHANNESBURG,
1211,"A rottweiler dog belonging to an elderly South African couple savaged to death their two-year-old grandson who was visiting , police said on Thursday .",,,
1212,The dog attacked Louis Booy in the front garden of his grandparents ' house in Vanderbijlpark near Johannesburg on Tuesday .,Louis Booy,Vanderbijlpark;Johannesburg,
1213,His bloody body was lying in the garden when his parents arrived in the afternoon to pick him up .,,,
1214,It was unclear where the grandparents were at the time .,,,
1215,Dogs fierce enough to scare off burglars are becoming increasingly popular in the crime-infested Johannesburg area .,,Johannesburg,
1216,INDICATORS - Hungary - updated Aug 22 .,,Hungary,
1217,BUDAPEST 1996-08-22,,BUDAPEST,
1218,The latest indicators :,,,
1219,CPI ( pct ) July +0.4m / m ; 23.0yr / yr ( June +0.9;+23.6 ),,,
1220,PPI ( pct ) June +0.7 m / m;+21.5yr / yr ( May +1.7;+22.0 ),,,
1221,Industry output ( pct ) June - 7.8 m / m;-0.2yr / yr ( May +7.3;-3.6 ),,,
1222,Current account Jan-May - $ 738 million ( Jan-April - $ 748 million ),,,
1223,NBH trade balance Jan-May - $ 934 million ( Jan-April - $ 774 million ),,,NBH
1224,MIT trade balance Jan-June - $ 1.45 bln ( Jan-May - $ 1.24 bln ),,,MIT
1225,"Gross foreign debt May $ 27,246.5 million ( April $ 28,716.8 million )",,,
1226,"Net foreign debt May $ 14,390.7 million ( April $ 15,704.3 million )",,,
1227,Unemployment ( pct ) July 10.8 pct ( June 10.6 pct ),,,
1228,Budget deficit ( HUF ) Jan-July 102 bln ( Jan-June 122 bln ),,,
1229,T-bill yields % ( 1mo ) 22.95 ( 3mo ) 23.02 ( 6mo ) 23.53 ( 1yr ) 24.40,,,
1230,"Government bond yields : ( 2-yr 1998 / J ) 25.49,(3-yr 1999 / c ) 24.44",,,
1231,"The NBH is BBB-minus by Duff & Phelps , IBCA and Thomson BankWatch , BB-plus by S&P , BA1 by Moody 's Investors Service , BBB+ by the Japan Credit Rating Agency .",,,NBH;Duff & Phelps;IBCA;Thomson BankWatch;S&P;Moody 's Investors Service;Japan Credit Rating Agency
1232,"The NBH trade data is based on cash flow , MIT data on customs statistics .",,,NBH;MIT
1233,-- Budapest newsroom ( 36 1)266 2410,,Budapest,
1234,Fifty Russians die in clash with rebels-Interfax .,,,
1235,MOSCOW 1996-08-22,,MOSCOW,
1236,"At least 50 Russian servicemen have been killed in a battle with separatist rebels which erupted in the Chechen capital Grozny on Thursday and continued after Russia and the rebels agreed a truce , Interfax news agency said .",,Grozny;Russia,Interfax
1237,"Interfax quoted Russian military command in Chechnya as saying that about 200 interior ministry forces , sent on reconaisance mission , clashed with rebels at Minutka Square .",,Chechnya;Minutka Square,Interfax;interior ministry
1238,The Interfax report could not be independently confirmed .,,,Interfax
1239,Moscow peacemaker Alexander Lebed and rebel chief-of-staff Aslan Maskhadov signed an agreement earlier on Thursday under which the two sides would cease all hostilities at noon ( 0800 GMT ) on Friday .,Alexander Lebed;Aslan Maskhadov,Moscow,
1240,Interfax made clear that the interior ministry detachment had been sent on the mission before the truce deal had been signed at the local equivalent of 1500 GMT .,,,Interfax;interior ministry
1241,"But fierce fighting still raged at 1600 GMT , Interfax said .",,,Interfax
1242,It quoted a source in the Russian command in Chechnya as saying that the servicemen were outnumbered by the rebels .,,Chechnya,
1243,Polish schoolgirl blackmailer wanted textbooks .,,,
1244,"GDANSK , Poland 1996-08-22",,GDANSK;Poland,
1245,"A Polish schoolgirl blackmailed two women with anonymous letters threatening death and later explained that she needed money for textbooks , police said on Thursday .",,,
1246,""" The 13-year-old girl tried to extract 60 and 70 zlotys ( $ 22 and $ 26 ) from two residents of Sierakowice by threatening to take their lives , "" a police spokesman said in the nearby northern city of Gdansk on Thursday .",,Sierakowice;Gdansk,
1247,He said the women reported the blackmail letters and police caught the girl on Wednesday as she tried to pick up the cash at the Sierakowice railway station .,,Sierakowice,
1248,""" Interviewed in the presence of a psychologist , she said she wanted to use the money for school books and clothes , "" spokesman Kazimierz Socha told Reuters .",Kazimierz Socha,,Reuters
1249,"He said the case of the girl , from a poor family that had never been in trouble with the law , would go before a special court dealing with underage offenders .",,,
1250,Czech CNB-120 index rises 1.2 pts to 869.3 .,,,
1251,PRAGUE 1996-08-22,,PRAGUE,
1252,"The CNB-120 index , a broad daily measure of Czech equities , rose 1.2 points on Thursday to 869.3 , the Czech National Bank ( CNB ) said .",,,Czech National Bank;CNB
1253,"Eight of the ten sectoral indices rose , with the banking index rising the most , up 14.4 points to 1,294.5 .",,,
1254,"-- Prague Newsroom , 42-2-2423-0003",,,Prague Newsroom
1255,"Russians , rebels sign deal in Chechnya .",,Chechnya,
1256,"NOVYE ATAGI , Russia 1996-08-22",,NOVYE ATAGI;Russia,
1257,Russian President Boris Yeltsin 's security supremo Alexander Lebed and Chechen rebel chief-of-staff Aslan Maskhadov signed a deal on Thursday aimed at ending three weeks of renewed fighting in the region .,Boris Yeltsin;Alexander Lebed;Aslan Maskhadov,,
1258,The final contents of the document negotiated in this village south of the Chechen capital Grozny have not been officially disclosed .,,Grozny,
1259,Itar-Tass news agency said it provided for the disengagement of Russian and rebel forces in Chechnya .,,Chechnya,Itar-Tass
1260,Lebed aide says Russian-Chechen talks going well .,Lebed,,
1261,"NOVYE ATAGI , Russia 1996-08-22",,NOVYE ATAGI;Russia,
1262,"Talks between Russia 's Alexander Lebed and Chechen separatist leaders were going well on Thursday and the two sides were working out a detailed schedule on how to stop the war , a Lebed aide said .",Alexander Lebed;Lebed,Russia,
1263,"Press spokesman Alexander Barkhatov told reporters the negotiations , being held at this rebel-held village some 20 km ( 12 miles ) south of the Chechen capital Grozny , were progressing briskly and being conducted in a good mood .",Alexander Barkhatov,Grozny,
1264,"He said a document would be completed in an hour 's time for signature by the two sides , who were working on a "" day-by-day schedule to stop the war in Chechnya . """,,Chechnya,
1265,Yeltsin shown on Russian television .,Yeltsin,,
1266,MOSCOW 1996-08-22,,MOSCOW,
1267,"Russian television showed a brief clip of Boris Yeltsin on Thursday , with the president laughing and smiling as he spoke to nominee health minister Tatyana Dmitrieva .",Boris Yeltsin;Tatyana Dmitrieva,,
1268,It was the first time the president had been shown on television since he was inaugurated for a second term in office on August 9 .,,,
1269,He returned to the Kremlin on Thursday after a two-day break in the lakelands of northwestern Russia .,,Kremlin;Russia,
1270,PRESS DIGEST - Bosnia - Aug 22 .,,Bosnia,
1271,SARAJEVO 1996-08-22,,SARAJEVO,
1272,These are the leading stories in the Sarajevo press on Thursday .,,Sarajevo,
1273,Reuters has not verified these stories and does not vouch for their accuracy .,,,Reuters
1274,OSLOBODJENJE,,,OSLOBODJENJE
1275,- The Bosnian federation launches a common payment system on Friday .,,,
1276,"Under the new system taxes and customs may be paid in the Bosnian dinar , the Croatian kuna or the Deutsche mark until a new Bosnian currency is introduced .",,,
1277,"- The president of the Bosnian Association for Refugees and Displaced Persons , Mirhunisa Komarica says many survivors of the 1995 massacre in the Bosnian town of Srebrenica are languishing as forced laborers in Serbian mines .",Mirhunisa Komarica,Srebrenica,Bosnian Association for Refugees and Displaced Persons
1278,"According to Komarica , 2,400 male residents of Srebrenica work in the Trepca mine and 1,900 work in a mine in Aleksandrovac .",Komarica,Srebrenica;Trepca;Aleksandrovac,
1279,DNEVNI AVAZ,,,DNEVNI AVAZ
1280,- Slovenian police briefly detain two Bosnian opposition leaders in Ljubljana and cancel opposition political rallies in Ljubljana and Maribor .,,Ljubljana;Ljubljana;Maribor,
1281,"-- Sarajevo newsroom , +387-71-663-864 .",,Sarajevo,
1282,Grozny quiet overnight after raids .,,Grozny,
1283,"ALKHAN-YURT , Russia 1996-08-22",,ALKHAN-YURT;Russia,
1284,"The city of Grozny , pounded by Russian planes and artillery for hours on Wednesday , calmed down overnight , although sporadic explosions and shooting could still be heard .",,Grozny,
1285,"Reuters correspondent Lawrence Sheets , speaking from the nearby village of Alkhan-Yurt , said he had heard little from Grozny since Wednesday evening 's arrival of Russian security chief Alexander Lebed , who said he "" came with peace "" .",Lawrence Sheets;Alexander Lebed,Alkhan-Yurt;Grozny,Reuters
1286,"A couple of helicopters flew over the city early on Thursday morning , but did not appear to be firing at anything .",,,
1287,"Lebed said on Wednesday he had clinched a truce with Chechen separatists and he promised to halt a threatened bombing assault on Grozny , which the rebels have held since August 6 .",Lebed,Grozny,
1288,Boat passengers rescued off Colombian coast .,,,
1289,"BOGOTA , Colombia 1996-08-22",,BOGOTA;Colombia,
1290,"Colombia 's Coast Guard on Thursday rescued 12 people lost for three days in an open boat off the Pacific coast , officials said .",,Colombia;Pacific,Coast Guard
1291,"The boat had been missing since Monday afternoon when it left the tiny island of Gorgona off Colombia 's southwest coast with sightseers for a return trip to Narino province , near the border with Ecuador .",,Gorgona;Colombia;Narino;Ecuador,
1292,"The boat ran out of fuel and did not have a radio to call for help , Navy spokesman Lt. Italo Pineda said .",Italo Pineda,,Navy
1293,He said 11 passengers and one boatman survived on coconuts and rainwater during 65 hours lost at sea .,,,
1294,The boat was towed to the port city of Buenaventura .,,Buenaventura,
1295,Argentine July raw steel output up 14.8 pct vs ' 95 .,,,
1296,BUENOS AIRES 1996-08-22,,BUENOS AIRES,
1297,"Argentine raw steel output was 355,900 tonnes in July , 14.8 percent higher than in July 1995 and up 1.9 percent from June , Steel Industry Center said Thursday .",,,Steel Industry Center
1298,"Primary iron output was 297,700 tonnes , 14.5 percent more than last July and 0.1 percent more than in June .",,,
1299,"Hot laminate production was 349,000 tonnes , 3.2 percent up from July 1995 and 0.8 percent up from June .",,,
1300,"Production of cold laminates was 120,500 tonnes , 4.2 percent higher than the same month last year and 11 percent higher than in June .",,,
1301,"-- Jason Webb , Buenos Aires Newsroom +541 318-0655",Jason Webb,,Buenos Aires Newsroom
1302,"Peru 's guerrillas kill one , take 8 hostage in jungle .",,Peru,
1303,"LIMA , Peru 1996-08-21",,LIMA;Peru,
1304,"Peruvian guerrillas killed one man and took eight people hostage after taking over a village in the country 's northeastern jungle region , anti- terrorist police sources said on Wednesday .",,,
1305,"For three hours on Tuesday , around 100 members of the Maoist rebel group Shining Path took control of Alomella Robles , a small village about 345 miles ( 550 km ) northeast of Lima , the sources said .",,Alomella Robles;Lima,Shining Path
1306,"Some guerrillas made villagers listen to propaganda speeches in the village centre , others forced passing motorists out of their cars and daubed their vehicles with slogans .",,,
1307,"By Wednesday , the whereabouts of the eight hostages was still not known , the sources said .",,,
1308,"In recent months the Shining Path , severely weakened since the 1992 capture of its leader Abimael Guzman , has been stepping up both its military and propaganda activities .",Abimael Guzman,,Shining Path
1309,"Peru 's guerrilla conflicts have cost at least 30,000 lives and $ 25 billion in damage to infrastructure since 1980 .",,Peru,
1310,Former Surinam rebel leader held after shooting .,,Surinam,
1311,"PARAMARIBO , Surinam 1996-08-21",,PARAMARIBO;Surinam,
1312,"Flamboyant former Surinamese rebel leader Ronny Brunswijk was in custody on Wednesday charged with attempted murder , police said .",Ronny Brunswijk,,
1313,"Brunswijk turned himself into police after Freddy Pinas , a Surinamese-born visitor from the Netherlands , accused Brunswijk of trying to kill him on Sunday after a bar-room brawl in the small mining town of Moengo , about 56 miles ( 90 km ) east of Paramaribo , said police spokesman Ro Gajadhar .",Brunswijk;Freddy Pinas;Brunswijk;Ro Gajadhar,Netherlands;Moengo;Paramaribo,
1314,"Pinas , showing cuts and bruises on his face , told reporters the former head of the feared Jungle Command had tried and failed to shoot him after Pinas objected to Brunswijk 's advances toward his wife .",Pinas;Pinas;Brunswijk,,Jungle Command
1315,Pinas said Brunswijk then ordered his bodyguards to beat him up .,Pinas;Brunswijk,,
1316,"Brunswijk , 35 , denied the charges and said he had merely defended himself when Pinas attacked him with a bottle .",Brunswijk;Pinas,,
1317,It was the second time Brunswijk had been charged with attempted murder in less than two years .,Brunswijk,,
1318,In 1994 he served two months in prison for shooting a thief in the buttocks .,,,
1319,"Brunswijk led a rebel group of about 1,000 in a 1986 uprising against the regime of military strongman Desi Bouterse .",Brunswijk;Desi Bouterse,,
1320,"The conflict , which killed more than 500 and caused thousands to flee to neighbouring French Guiana in the late 1980s , eventually paved the way to democratic elections in 1991 .",,French Guiana,
1321,"Despite numerous problems with authorities , Brunswijk went on to become a successful businessman with mining and logging interests .",Brunswijk,,
1322,He also manages and occasionally plays for one of the leading local soccer teams .,,,
1323,Noisy saw leads Thai police to heroin hideaway .,,,
1324,BANGKOK 1996-08-22,,BANGKOK,
1325,"A Hong Kong carpenter was arrested in the Thai seaside town of Pattaya after police seized 18 kg ( 39.7 pounds ) of heroin following complaints by residents of a noisy saw , police said on Thursday .",,Hong Kong;Pattaya,
1326,"Cheung Siu Man , 40 , was arrested late on Wednesday after police searched a house and found heroin in bags and hidden in hollow spaces in wooden planks , police said .",Cheung Siu Man,,
1327,The suspect said he was hired to make a wooden box from the planks in order to hide the heroin .,,,
1328,Police went to the house after receiving complaints of sawing during the night over the course of several days .,,,
1329,"When they arrived to investigate , police saw people escaping from the back door so they decided to search the house .",,,
1330,"The seized heroin has an estimated street value of about 300 million baht ( $ 12 million ) , police said .",,,
1331,"Officials are now hunting for the suspect 's collaborators , police said .",,,
1332,"Cheung was being detained pending formal charges , police said .",Cheung,,
1333,Australia foreign minister arrives in China .,,Australia;China,
1334,BEIJING 1996-08-22,,BEIJING,
1335,Australian Foreign Minister Alexander Downer arrived in Beijing on Thursday for a four-day visit that follows rising friction between the two nations in recent weeks .,Alexander Downer,Beijing,
1336,"Downer was to meet Chinese Foreign Minister Qian Qichen and sign an agreement on an Australian consulate in Hong Kong , an official of the Australian embassy in Beijing said .",Downer;Qian Qichen,Hong Kong;Beijing,
1337,"China will resume sovereignty over Hong Kong , a British colony , in mid-1997 .",,China;Hong Kong,
1338,Relations between China and Australia have been strained in recent weeks because of Australia 's plan to sell uranium to China 's rival Taiwan .,,China;Australia;Australia;China;Taiwan,
1339,"Other issues affecting ties include plans by an Australian cabinet minister to visit Taiwan , a security pact between Canberra and Washington and a possible visit to Australia next month by Tibet 's exiled spiritual leader the Dalai Lama .",Dalai Lama,Taiwan;Canberra;Washington;Australia;Tibet,
1340,Downer is the first Australian minister to visit China since the new conservative government took office in Canberra in March .,Downer,China;Canberra,
1341,Palestinians accuse PA of banning books .,,,PA
1342,"NABLUS , West Bank 1996-08-22",,NABLUS;West Bank,
1343,A West Bank bookseller charged on Thursday that the Palestinian Information Ministry has forced him to sign an undertaking not to distribute books written by critics of Israeli-PLO self-rule deals .,,West Bank,Palestinian Information Ministry
1344,""" They made me sign an undertaking not to sell the books to anyone at the risk of legal action .",,,
1345,"One official told me ' you have to either destroy the books or return them to Amman ' , "" Daoud Makkawi , owner of the Nablus-based al-Risala bookshop , told Reuters .",Daoud Makkawi,Amman;al-Risala,Reuters
1346,"He said ministry officials made him sign this a few weeks ago after he brought about a dozen copies from Jordan of a book by Edward Said , a prominent scholar at New York City 's Columbia University .",Edward Said,Jordan;New York City,Columbia University
1347,"Said , a U.S. citizen of Palestinian origin , has been an outspoken critic of the 1993 Israeli-PLO self-rule deal and has written at least two books on the accord .",Said,U.S.,
1348,On Wednesday a bookseller in the West Bank town of Ramallah said police about a month ago confiscated several copies of two of Said 's books on the Israel-PLO self-rule deals .,Said,West Bank;Ramallah,
1349,Palestinian Information Ministry Director-General Mutawakel Taha denied that ministry officials forced anyone to sign any undertaking and insisted that the Palestinian Authority has no plans to censor books .,Mutawakel Taha,,Palestinian Information Ministry;Palestinian Authority
1350,""" There is no strategy to ban books or to suppress freedom of expression in any form whatsoever , "" Taha told Reuters .",Taha,,Reuters
1351,But Taha said that the absence of relevent legislations may have resulted in some mistakes by some security officials .,Taha,,
1352,""" This may explain some mistakes against some journalists and writers , "" he said .",,,
1353,"Daoud said books by other authors , including British Journalist Patrick Seale , were also banned .",Daoud;Patrick Seale,,
1354,He said that security officials often visit his shop to make sure he was not selling the books .,,,
1355,""" I think this is a bad beginning .",,,
1356,"If we have confidence , why should we be afraid of the other opinion ? """,,,
1357,Daoud said .,Daoud,,
1358,Thousands of books were banned from sale in the West Bank and Gaza Strip by the Israeli military authorities before the Jewish state handed over parts of the two areas to the PLO under a self-rule deal in 1994 .,,West Bank;Gaza Strip,PLO
1359,Egypt blames Istanbul control tower for accident .,,Egypt;Istanbul,
1360,CAIRO 1996-08-22,,CAIRO,
1361,The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .,,Istanbul,EgyptAir;EgyptAir
1362,"Twenty people were injured on Wednesday when the EgyptAir Boeing 707 overshot the runway , caught fire , hit a taxi and skipped across a road onto a railway line .",,,EgyptAir
1363,"Chairman Mohamed Fahim Rayyan told a news conference at Cairo airport : "" The control tower should have allocated the plane another runway , instead of the one the plane landed on . """,Mohamed Fahim Rayyan,Cairo,
1364,""" The one it landed on is 2,250 metres ( 2,460 yards ) long while the other one if more than 3,000 metres ( 3,300 yards ) long and is less steep , "" he added .",,,
1365,He said a Turkish civil aviation authority official had made the same point and he noted that a Turkish plane had a similar accident there in 1994 .,,,
1366,The EgyptAir pilot blamed Turkish airport staff for misleading him .,,,EgyptAir
1367,The landing took place after a rainstorm .,,,
1368,""" Its not an accident .",,,
1369,It 's very wet .,,,
1370,The brake action is very poor and the tower said it 's medium .,,,
1371,"That 's wrong , "" the pilot told private Ihlas news agency in English .",,,Ihlas
1372,Egypt wants nothing to do with Sudanese rulers .,,Egypt,
1373,CAIRO 1996-08-22,,CAIRO,
1374,"The Egyptian government will have nothing more to do with the Sudanese government because it continues to shelter and support Egyptian militants , President Hosni Mubarak said in a speech on Thursday .",Hosni Mubarak,,
1375,Egypt says the Sudanese government helped the Moslem militants who tried to kill Mubarak in Addis Ababa last year .,Mubarak,Egypt;Addis Ababa,
1376,It sponsored last week 's U.N. Security Council resolution threatening a ban on Sudanese flights abroad if Khartoum does not hand over three men accused in the Addis Ababa incident .,,Khartoum;Addis Ababa,U.N. Security Council
1377,"The sanctions will come into effect in November if Sudan fails to extradite the men , but Sudan says it cannot hand them over to Ethiopia for trial because they are not in Sudan .",,Sudan;Sudan;Ethiopia;Sudan,
1378,""" We are still eager that nothing should affect the Sudanese people but we will not deal with the current regime or the Turabi front or whatever , "" Mubarak told a group of academics .",Turabi;Mubarak,,
1379,"Hassan al-Turabi is the leader of the National Islamic Front , the political force behind the Sudanese government .",Hassan al-Turabi,,National Islamic Front
1380,""" I do n't want to go into more details than that but there are more details and they are bitter .",,,
1381,"There are terrorists they are sheltering and they make Sudanese passorts for them and they get paid by them , "" Mubarak said .",Mubarak,,
1382,"He did not say if Egypt would go so far as to break relations , a step it has been reluctant to take , ostensibly because it would affect ordinary Sudanese .",,Egypt,
1383,Turkish shares shed gains in profit-taking .,,,
1384,ISTANBUL 1996-08-22,,ISTANBUL,
1385,"Turkish shares ended lower on Thursday , shedding gains of earlier in the week amid profit-taking sales , brokers said .",,,
1386,"The IMKB-100 lost 0.19 percent or 123.89 points to end at 64,178.78 .",,,
1387,Gains so far this week have totalled 2.92 percent .,,,
1388,Daily volume dropped to 7.2 trillion lira from Wednesday 's 7.8 trillion lira .,,,
1389,""" Profit-taking sales in the afternoon showed the latest gains of the index were actually a reaction rise .",,,
1390,"I expect the market to go as far down as 63,000 tomorrow if sales continue , "" said Burcin Mavituna from Interbank .",Burcin Mavituna,,Interbank
1391,"Brokers said profit taking sales had come especially as the index approached the 65,000 resistance level .",,,
1392,"They said the index could also rise towards 65,000 if the cheap share prices attracted buyers .",,,
1393,"The market had its first resistance at 67,000 if it pierced 65,000 , they added .",,,
1394,"The session 's most active shares were those of Isbank gained 300 lira to 8,600 .",,,Isbank
1395,"Shares of utility Cukurova lost 3,000 lira to 67,000 .",,,Cukurova
1396,"The 85-share industrial index lost 0.47 percent to 70,848.86 and the 15-share financial index rose by 0.55 percent to 55,929.89 .",,,
1397,"Of the 218 shares traded , gainers outdid losers by 100 to 64 and 54 shares were stable .",,,
1398,"-- Istanbul Newsroom , +90-212-275 0875 SA",,,Istanbul Newsroom
1399,Miss Universe hides behind veil of silence .,,,
1400,Kieran Murray,Kieran Murray,,
1401,"LAS CRUCES , N.M. 1996-08-22",,LAS CRUCES,
1402,"Miss Universe , Venezuela 's Alicia Machado , left New Mexico on Thursday , refusing to answer questions about her weight or claims she was told to either go on a crash diet or give up her title .",Alicia Machado,Venezuela;New Mexico,
1403,"Machado , 19 , flew to Los Angeles after slipping away from the New Mexico desert town of Las Cruces , where she attended the 1996 Miss Teen USA pageant on Wednesday .",Machado,Los Angeles;New Mexico;Las Cruces,
1404,"While Machado was not a contestant here , she came under intense scrutiny following reports she was given an ultimatum by Los Angeles-based Miss Universe Inc. to drop 27 pounds ( 12 kg ) in two weeks or risk losing her crown .",Machado,,Miss Universe Inc.
1405,"In Venezuela , her mother told Reuters that Machado had a swollen face when she left home two weeks ago because she had her wisdom teeth extracted .",Machado,Venezuela,Reuters
1406,"Marta Fajardo insisted her daughter , who weighed 112 pounds ( 51 kg ) when she won the Miss Universe title in Las Vegas in May , had perfectly normal eating habits .",Marta Fajardo,Las Vegas,
1407,""" Everybody has their own addiction to something or other but it 's not as if she eats cakes like crazy , "" she said .",,,
1408,Organisers flatly denied ever threatening Machado but immediately put her under wraps and blocked access to her .,Machado,,
1409,"Dressed in a black strapless evening gown at Wednesday 's pageant , Machado was clearly heavier than the contestants but still won rave reviews after her brief appearance on stage .",Machado,,
1410,""" Are you kidding ?",,,
1411,"She 's fantastic , "" said Nikki Campbell , 28 , who went to the pageant . """,Nikki Campbell,,
1412,She looked great .,,,
1413,"Very sexy . """,,,
1414,Machado 's publicists said on Thursday she was scheduled to stay in Los Angeles for promotional work with sponsors before returning to Venezuela on Sept .,Machado,Los Angeles;Venezuela,
1415,5 .,,,
1416,Beauty queens are high-profile personalities in Venezuela and Machado 's alleged weight problem made front page news this week .,Machado,Venezuela,
1417,It was an official of the Miss Venezuela Organisation who first said Machado had been told to lose weight fast .,Machado,,Miss Venezuela Organisation
1418,"People close to her said she then eased up on her diet and indulged her passion for pasta and cake , but it was not clear how many pounds she gained and most people who saw her said she was still a long way from being fat .",,,
1419,"Martin Brooks , president of Miss Universe Inc , said he spoke with Machado to assure her that organisers were not putting pressure on her .",Martin Brooks;Machado,,Miss Universe Inc
1420,""" She 's fine with it .",,,
1421,"She wished , as we all did , that it had n't happened but she 's spiritually and mentally terrific .",,,
1422,"There 's no problem whatsoever , "" he told Reuters .",,,Reuters
1423,He said the lifestyle associated with being Miss Universe could make routine exercise difficult .,,,
1424,""" The problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .",,,
1425,I dont know if Alicia is working out .,Alicia,,
1426,"We have n't talked about it because it has n't been an issue , "" he said .",,,
1427,Kevorkian attends third suicide in week .,Kevorkian,,
1428,"PONTIAC , Mich .",,PONTIAC;Mich,
1429,1996-08-22,,,
1430,"Dr. Jack Kevorkian attended his third suicide in less than a week on Thursday , bringing the body of a 40-year-old Missouri woman suffering from multiple sclerosis to a hospital emergency room , doctors said .",Jack Kevorkian,Missouri,
1431,"Dr Robert Aranosian , emergency room director at Pontiac Osteopathic Hospital , said Kevorkian brought in the body of Patricia Smith , of Lees Summit , Mo .",Robert Aranosian;Kevorkian;Patricia Smith,Pontiac Osteopathic Hospital;Lees Summit;Mo,
1432,", at midday and told doctors that she had been paralysed by the disease .",,,
1433,It was his second assisted-suicide in 36 hours and the 37th that he has acknowledged attending since starting his crusade for doctor assisted suicide in 1990 .,,,
1434,"Kevorkian 's lawyer , Geoffrey Fieger , said those attending Smith 's death included her husband , David , a police officer , her father , James Poland , and Kevorkian .",Kevorkian;Geoffrey Fieger;Smith;David;James Poland;Kevorkian,,
1435,It was the first known time that a police officer has been president at the suicide of one of Kevorkian 's patients .,Kevorkian,,
1436,He offered no details about the cause of Smith 's death or the location .,Smith,,
1437,"She was a nurse who had "" rapidly progressing multple sclerosis . """,,,
1438,"On Tuesday night , Kevorkian attended the death of Louise Siebens , a 76-year-old Texas woman with amyotrophic lateral sclerosis , or Lou Gehrig 's disease .",Kevorkian;Louise Siebens;Lou Gehrig,Texas,
1439,"On August 15 , Kevorkian helped Judith Curren , a 42-year-old Massachusetts nurse , who suffered from chronic fatigue syndrome , a non-terminal illness , to end her life .",Kevorkian;Judith Curren,Massachusetts,
1440,"Fairview , Texas , $ 1.82 million deal Baa1 - Moody 's .",,Fairview;Texas,Moody 's
1441,NEW YORK 1996-08-22,,NEW YORK,
1442,Moody 's Investors Service -,,,Moody 's Investors Service
1443,Rating Announcement As of 08/21/96 .,,,
1444,Issuer : Fairview Town,,Fairview Town,
1445,State : TX,,TX,
1446,Rating : Baa1,,,
1447,"Sale Amount : 1,820,000",,,
1448,Expected Sale Date : 08/27/96,,,
1449,"-- U.S. Municipal Desk , 212-859-1650",,,U.S. Municipal Desk
1450,Defiant U.S. neo-Nazi jailed by German court .,,U.S.,
1451,Andrew Gray,Andrew Gray,,
1452,"HAMBURG , Germany 1996-08-22",,HAMBURG;Germany,
1453,A Hamburg court sentenced U.S. neo-Nazi leader Gary Lauck on Thursday to four years in prison for pumping banned extremist propaganda into Germany from his base in the United States .,Gary Lauck,Hamburg;U.S.;Germany;United States,
1454,"Lauck , from Lincoln , Nebraska , yelled a tirade of abuse at the court after his conviction for inciting racial hatred .",Lauck,Lincoln;Nebraska,
1455,""" The struggle will go on , "" the 43-year-old shouted in German before being escorted out by security guards .",,,
1456,"Lauck 's lawyer vowed he would appeal against the court 's decision , arguing that his client should have been set free because he had not committed any offence under German law .",Lauck,,
1457,The German government hailed the conviction as a major victory in the fight against neo-Nazism .,,,
1458,Lauck 's worldwide network has been the main source of anti-Semitic propaganda material flowing into Germany since the 1970s .,Lauck,Germany,
1459,""" Lauck possessed a well-oiled propaganda machine , honed during more than 20 years , "" presiding judge Guenter Bertram told the court .",Lauck;Guenter Bertram,,
1460,""" He set up a propaganda cannon and fired it at Germany . """,,Germany,
1461,"said Bertram , who also read out extracts from Lauck 's material praising Hitler as "" the greatest of all leaders "" and describing the Nazi slaughter of millions of Jews as a myth .",Bertram;Lauck;Hitler,,
1462,"Eager to put Lauck behind bars quickly and avoid a long and complex trial , prosecutor Bernd Mauruschat limited his charges to offences since 1994 .",Lauck;Bernd Mauruschat,,
1463,He had demanded a five-year jail term but said he was satisfied with the court 's sentence .,,,
1464,"Publishing and distributing neo-Nazi material is illegal in Germany but Lauck 's defence team had argued that U.S freedom of speech laws meant he was free to produce his swastika-covered books , magazines , videos and flags in his homeland .",Lauck,Germany;U.S,
1465,"Interior Minister Manfred Kanther said in a statement he "" welcomed the prosecution and conviction of one of the ringleaders of international neo-Nazism and biggest distributers of vicious racist publications "" .",Manfred Kanther,,
1466,""" It is high time he was behind bars , "" the opposition Social Democrats said in a statement .",,,
